PR番号,URL,タイトル,カテゴリ,具体性,実現難易度,要約,類似グループ
6144,https://github.com/team-mirai/policy/pull/6144,GIGAスクール端末への時間制限機能の導入によるネット依存対策の強化,デジタル化,高,中,GIGAスクール端末に時間制限・フィルタリング機能を標準搭載しネット依存を防止,-
6029,https://github.com/team-mirai/policy/pull/6029,Hiroさんによる教育政策の改善案：学習環境の公平性と個別最適化の徹底,デジタル化,高,高,AIによる個別最適化教育と全端末へのSIMカード内蔵で教育格差を解消する提案,-
6179,https://github.com/team-mirai/policy/pull/6179,いじめ問題への取り組みに関する章の新設,制度・システム,中,中,いじめ問題に対する被害者保護・加害者教育を含む包括的対応方針をマニフェストに明記,-
6034,https://github.com/team-mirai/policy/pull/6034,教育政策：教員の働き方改革と「チーム学校」実現の提案,教員・人材,高,中,教員の負担軽減のため事務・部活動・ICT支援等の専門スタッフを配置し、現場裁量の人件費を国が措置,-
5902,https://github.com/team-mirai/policy/pull/5902,【しまださん提案】就学支援金の所得制限見直しによる事務コスト削減の検討,制度・システム,中,中,就学支援金の所得制限に係る事務コストが過大な場合、一律支援への転換を検討,-
6177,https://github.com/team-mirai/policy/pull/6177,提案：社会教育施設の活用促進のため「のびのびパスポート」制度を全国展開,制度・システム,高,中,神戸市「のびのびパスポート」モデルで全国小中学生の公立文化施設無料化を実現,-
5958,https://github.com/team-mirai/policy/pull/5958,インボイス制度の廃止と消費税の単一税率化提案,その他,中,高,インボイス制度を廃止し消費税を5-8%の単一税率にして事業者負担を軽減する税制改革提案,-
6129,https://github.com/team-mirai/policy/pull/6129,社会教育施設の専門職員（学芸員等）の待遇の現状と改善に関する追記,教員・人材,中,高,社会教育施設の学芸員等専門職員の非正規雇用問題を指摘し、安定雇用による専門知識継承の必要性を提案,-
6107,https://github.com/team-mirai/policy/pull/6107,ゆうかさんより：教育を通じた日本文化への理解とアイデンティティ確立の提案,カリキュラム改革,低,中,日本文化・歴史を客観的・多角的に学ぶ教育を通じ、子供たちの文化的アイデンティティ確立を支援,-
5965,https://github.com/team-mirai/policy/pull/5965,教育の質向上のため、教員の働き方と採用に関する項目を追加,教員・人材,高,高,教員業務のデジタル効率化と中途採用比率50%への引き上げで、教員の質向上と多様な人材確保を実現,-
5975,https://github.com/team-mirai/policy/pull/5975,教育政策の改善案：AI学習アシスタントの役割の明確化,デジタル化,高,低,AI学習アシスタントの初期導入をドリル学習支援に限定し着実な実現を図る,-
6047,https://github.com/team-mirai/policy/pull/6047,教育マニフェスト改善提案：AIの役割を明確化（ナサガワさん）,デジタル化,高,低,教育現場でのAI活用における教員の主体性と判断権を明確化する文言修正,-
6231,https://github.com/team-mirai/policy/pull/6231,教育政策の改善案：個別最適化された学びと手厚い支援体制の実現,制度・システム,高,高,EdTech活用の無学年制・習熟度別学習と教員増員・専門職配置によるチーム学校体制で個別最適な学びを実現,-
6466,https://github.com/team-mirai/policy/pull/6466,教育の多様性を推進：フリースクール等の卒業資格認定制度の提案,制度・システム,中,高,フリースクール等での学びを正規の教育課程として認定し、小中学校の卒業資格を付与する制度創設,-
6471,https://github.com/team-mirai/policy/pull/6471,いじめ対策の実効性を高めるための改善提案,制度・システム,高,高,いじめ隠蔽への罰則規定と第三者委員会の中立性確保により、いじめ対策の実効性を高める,-
6492,https://github.com/team-mirai/policy/pull/6492,社会人の学び直しに関する政策を追加,デジタル化,高,中,社会人向けオンライン学習環境整備とAI活用による生涯学習支援システムの構築,1
6024,https://github.com/team-mirai/policy/pull/6024,教育AI開発における「公民連携モデル」の具体化と三者の利益（国・企業・子ども）の明確化,デジタル化,高,中,教育AI開発で政府主導の公民連携モデルを導入し国・企業・子どもの三者利益を実現,-
